type,size,num,app,prefetch,flush,read,write,total,all
0,10,0,wrf,9.619,0.000,9.431,34.268,217.150,1141.234
0,10,0,nyx,25.386,61.705,0.000,11.578,279.219,1141.234
0,10,0,warpx,106.433,445.086,0.000,19.886,644.865,1141.234
0,10,1,wrf,7.514,0.000,7.646,35.665,229.191,1142.478
0,10,1,nyx,27.499,61.894,0.000,10.959,281.825,1142.478
0,10,1,warpx,93.358,448.028,0.000,20.499,631.462,1142.478
0,10,2,wrf,8.874,0.000,6.586,35.403,229.191,1136.418
0,10,2,nyx,26.959,64.901,0.000,12.256,278.937,1136.418
0,10,2,warpx,106.866,428.936,0.000,19.550,628.290,1136.418
0,15,0,wrf,7.630,0.000,8.359,27.131,219.554,998.651
0,15,0,nyx,25.069,10.995,0.000,10.410,220.428,998.651
0,15,0,warpx,109.228,356.326,0.000,18.239,558.669,998.651
0,15,1,wrf,9.709,0.000,8.558,34.323,215.552,1008.507
0,15,1,nyx,24.482,10.753,0.000,10.587,213.308,1008.507
0,15,1,warpx,115.767,367.770,0.000,18.282,579.647,1008.507
0,15,2,wrf,8.233,0.000,4.901,23.190,198.018,983.649
0,15,2,nyx,24.536,10.935,0.000,10.521,214.747,983.649
0,15,2,warpx,116.219,358.299,0.000,17.907,570.884,983.649
0,20,0,wrf,10.575,0.000,5.654,27.540,214.728,946.694
0,20,0,nyx,29.072,0.000,0.000,11.910,220.695,946.694
0,20,0,warpx,104.595,326.259,0.000,19.587,511.271,946.694
0,20,1,wrf,11.594,0.000,9.520,26.380,204.351,920.903
0,20,1,nyx,26.195,0.000,0.000,11.618,212.972,920.903
0,20,1,warpx,97.067,323.108,0.000,22.696,503.580,920.903
0,20,2,wrf,9.215,0.000,10.172,33.345,214.115,931.182
0,20,2,nyx,27.782,0.000,0.000,11.680,216.258,931.182
0,20,2,warpx,110.851,307.870,0.000,20.620,500.809,931.182
0,30,0,wrf,9.310,0.000,6.490,26.600,214.371,854.528
0,30,0,nyx,27.152,0.000,0.000,12.141,206.779,854.528
0,30,0,warpx,98.858,246.534,0.000,19.959,433.378,854.528
0,30,1,wrf,9.436,0.000,6.700,21.922,196.267,842.359
0,30,1,nyx,27.912,0.000,0.000,11.810,209.226,842.359
0,30,1,warpx,88.319,253.635,0.000,20.407,436.866,842.359
0,30,2,wrf,9.301,0.000,6.849,27.940,212.286,847.522
0,30,2,nyx,27.637,0.000,0.000,11.227,207.762,847.522
0,30,2,warpx,124.383,203.596,0.000,20.856,427.474,847.522
0,40,0,wrf,8.362,0.000,4.768,26.461,204.693,686.855
0,40,0,nyx,25.916,0.000,0.000,11.866,208.945,686.855
0,40,0,warpx,97.497,82.916,0.000,21.044,273.217,686.855
0,40,1,wrf,13.087,0.000,4.923,27.774,202.034,678.718
0,40,1,nyx,26.697,0.000,0.000,11.891,212.704,678.718
0,40,1,warpx,101.372,75.701,0.000,20.880,263.980,678.718
0,40,2,wrf,10.296,0.000,13.584,27.813,218.801,703.384
0,40,2,nyx,27.066,0.000,0.000,12.367,210.571,703.384
0,40,2,warpx,127.320,67.734,0.000,19.642,274.012,703.384
0,50,0,wrf,9.630,0.000,4.908,23.937,213.406,582.389
0,50,0,nyx,25.937,0.000,0.000,10.780,200.428,582.389
0,50,0,warpx,90.369,0.000,0.000,18.320,168.555,582.389
0,50,1,wrf,11.258,0.000,9.232,24.800,200.962,579.781
0,50,1,nyx,26.569,0.000,0.000,10.770,200.322,579.781
0,50,1,warpx,101.179,0.000,0.000,17.858,178.497,579.781
0,50,2,wrf,9.637,0.000,5.373,28.774,210.990,593.973
0,50,2,nyx,26.819,0.000,0.000,12.588,204.377,593.973
0,50,2,warpx,103.012,0.000,0.000,20.716,178.606,593.973
0,50,3,wrf,9.207,0.000,7.663,25.520,200.608,580.434
0,50,3,nyx,26.383,0.000,0.000,11.815,203.388,580.434
0,50,3,warpx,92.523,0.000,0.000,22.041,176.438,580.434
